bidding_zone_from,DK_1,SE_4,EE,NO_4,RU,SE_1,SE_3,NO_2,NO_3,NO_5,NL,NO_1,SE_2,FI,DK_2,LT,PL,DE
DK_2,-126.0,-819.0,,,,,,,,,,,,,,,,486.0
FI,,,939.0,-29.0,-521.0,-1254.0,-218.0,,,,,,,,,,,
NO_1,,,,,,,421.0,-1728.0,-24.0,-1989.0,,,,,,,,
NO_2,708.0,,,,,,,,,96.0,704.0,1728.0,,,,,,
NO_3,,,,-670.0,,,,,,93.0,,24.0,112.0,,,,,
NO_4,,,,,,-68.0,,,670.0,,,,28.0,29.0,,,,
NO_5,,,,,,,,-96.0,-93.0,,,1989.0,,,,,,
SE_1,,,,68.0,,,,,,,,,1550.0,1254.0,,,,
SE_2,,,,-28.0,,-1550.0,6925.0,,-112.0,,,,,,,,,
SE_3,704.0,4610.0,,,,,,,,,,-421.0,-6925.0,218.0,,,,
SE_4,,,,,,,-4610.0,,,,,,,,819.0,-95.0,598.0,605.0
