bidding_zone_from,DK_1,SE_4,EE,NO_4,RU,SE_1,SE_3,NO_2,NO_3,NO_5,NL,NO_1,SE_2,FI,DK_2,LT,PL,DE
DK_2,-381,-1050,,,,,,,,,,,,,,,,-582
FI,,,-943,-76,0,-1363,100,,,,,,,,,,,
NO_1,,,,,,,1014,507,-173,-1287,,,,,,,,
NO_2,1160,,,,,,,-1400,,-395,-703,-507,,,,,,
NO_3,,,,-463,,,,,,433,,173,369,,,,,
NO_4,,,,,,451,,,463,,,,10,76,,,,
NO_5,,,,,,,,395,-433,,,1287,,,,,,
SE_1,,,,-451,,,,,,,,,1039,1363,,,,
SE_2,,,,-10,,-1039,5011,,-369,,,,,,,,,
SE_3,351,3820,,,,,,,,,,-1014,-5011,0,,,,
SE_4,,,,,,,-3820,,,,,,,,1050,-596,-597,-500
