Generator,name,carrier,bus,p_nom_min,p_nom,p_nom_extendable,efficiency,marginal_cost,capital_cost,build_year,lifetime,source,p_nom_max,p_max_pu,min_up_time,min_down_time,up_time_before,down_time_before,weight,control,type,p_min_pu,p_set,q_set,sign,committable,start_up_cost,shut_down_cost,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,p_nom_opt,country,bidding_zone,in_synchronous_network,p_set_before_scaling
C14,Rya Kvv,CCGT,6308,261.0,1143.18,0,0.58,38.8551724137931,99299.0381405309,2006.0,40.0,powerplantmatching,Inf,1.0,0.0,0.0,1.0,0.0,,PQ,other,0.0,327.387384635358,0.0,1.0,0,0.0,0.0,,,1.0,1.0,0.0,SE,SE_3,1.0,1143.18
C28,Oresundsverket Malmo,CCGT,5671,448.0,1680.0,0,0.58,38.8551724137931,99299.0381405309,2009.0,40.0,powerplantmatching,Inf,1.0,0.0,0.0,1.0,0.0,,PQ,other,0.0,337.405857740586,0.0,1.0,0,0.0,0.0,,,1.0,1.0,0.0,SE,SE_4,1.0,1680.0
C90,Abyverket,biomass,6640,100.0,438.0,0,0.47,14.8936170212766,278844.936767979,2004.0,20.0,powerplantmatching,Inf,1.0,0.0,0.0,1.0,0.0,,PQ,other,0.0,125.435779553777,0.0,1.0,0,0.0,0.0,,,1.0,1.0,0.0,SE,SE_3,1.0,438.0
C91,Fyris Uppsala,biomass,6595,120.0,525.6,0,0.47,14.8936170212766,278844.936767979,2004.0,20.0,powerplantmatching,Inf,1.0,0.0,0.0,1.0,0.0,,PQ,other,0.0,150.522935464532,0.0,1.0,0,0.0,0.0,,,1.0,1.0,0.0,SE,SE_3,1.0,525.6
C93,Angelholm,CCGT,6335,28.0,105.0,0,0.58,38.8551724137931,99299.0381405309,1991.0,40.0,powerplantmatching,Inf,1.0,0.0,0.0,1.0,0.0,,PQ,other,0.0,21.0878661087866,0.0,1.0,0,0.0,0.0,,,1.0,1.0,0.0,SE,SE_4,1.0,105.0
C94,Gunnesbovorket,OCGT,5671,25.0,93.75,1,0.41,53.5243902439025,45218.9906699585,1991.0,40.0,powerplantmatching,Inf,1.0,0.0,0.0,1.0,0.0,,PQ,other,0.0,18.8284518828452,0.0,1.0,0,0.0,0.0,,,1.0,1.0,0.0,SE,SE_4,1.0,93.75
C95,Lulea,CCGT,6931,100.0,270.0,0,0.58,38.8551724137931,99299.0381405309,1999.0,40.0,powerplantmatching,Inf,1.0,0.0,0.0,1.0,0.0,,PQ,other,0.0,180.0,0.0,1.0,0,0.0,0.0,,,1.0,1.0,0.0,SE,SE_1,1.0,270.0
C96,Stjarnvik,OCGT,6646,60.0,262.8,1,0.41,53.5243902439025,45218.9906699585,1999.0,40.0,powerplantmatching,Inf,1.0,0.0,0.0,1.0,0.0,,PQ,other,0.0,75.2614677322662,0.0,1.0,0,0.0,0.0,,,1.0,1.0,0.0,SE,SE_3,1.0,262.8
C97,Vasthamnsverket 2,CCGT,6335,69.0,258.75,0,0.58,38.8551724137931,99299.0381405309,2000.0,40.0,powerplantmatching,Inf,1.0,0.0,0.0,1.0,0.0,,PQ,other,0.0,51.9665271966527,0.0,1.0,0,0.0,0.0,,,1.0,1.0,0.0,SE,SE_4,1.0,258.75
C98,Aros Vasteras,OCGT,6643,192.0,840.96,1,0.41,53.5243902439025,45218.9906699585,1999.0,40.0,powerplantmatching,Inf,1.0,0.0,0.0,1.0,0.0,,PQ,other,0.0,240.836696743252,0.0,1.0,0,0.0,0.0,,,1.0,1.0,0.0,SE,SE_3,1.0,840.96
